Source.Name;Marca temporal;Nombre del Encuestador SE1;Nombre de la empresa;1. Tamaño de la empresa:;2. Sector o industria principal de la empresa (seleccione una opción):  ;* Especificar otra industria o sector;3. ¿Qué tipo de perfiles profesionales son los más demandados por su empresa actualmente?  ;* Especificar otro perfil;4. ¿Cuántos puestos de trabajo necesitan cubrir en los próximos 12 meses?   ;5. ¿Cuáles son las principales dificultades que enfrenta para cubrir las vacantes en su empresa?  ;* Especificar otras dificultades;6. ¿Qué proporción de sus trabajadores considera que tiene suficiente formación?;7. ¿En qué medida la falta de personal cualificado cree que afecta al crecimiento de su empresa?  ;8. ¿A su empresa le interesaría realizar programas de formación o programas de inserción laboral?  
SE1 - MARIA DEL CARMEN ROGRÍGUEZ GUERRA (respuestas).xlsx;18/02/2025 10:38;MARIA DEL CARMEN ROGRÍGUEZ GUERRA;Cafetería cervecería Er Migui;Pequeña;Hostelería;Bar,cafeteria;Otro *;Camareros cualificados;1-5;Falta de candidatos cualificados, Competencia salarial;Competencia horaria;Casi todos;En cierta medida;Sí
SE1 - MARIA DEL CARMEN ROGRÍGUEZ GUERRA (respuestas).xlsx;18/02/2025 11:00;MARIA DEL CARMEN ROGRÍGUEZ GUERRA;Zapatería ortis;Pequeña;Comercio;Venta al por menor;Comerciales;Comercial  venta;Ninguno;Falta de candidatos cualificados, Falta de experiencia;Ningún na mas;La mayoría;Poco;No
SE1 - MARIA DEL CARMEN ROGRÍGUEZ GUERRA (respuestas).xlsx;18/02/2025 11:07;MARIA DEL CARMEN ROGRÍGUEZ GUERRA;Bar alegria;Mediana;Hostelería;Bar;Otro *;Camareros;1-5;Falta de experiencia;Financiera ;La mayoría;En cierta medida;Sí
SE1 - MARIA DEL CARMEN ROGRÍGUEZ GUERRA (respuestas).xlsx;18/02/2025 11:12;MARIA DEL CARMEN ROGRÍGUEZ GUERRA;Calzados canalejo;Micro;Comercio;Zapatería ;Comerciales;Vendedores ;1-5;Falta de experiencia;Falta de candidatos ;La mayoría;Poco;Sí
SE1 - MARIA DEL CARMEN ROGRÍGUEZ GUERRA (respuestas).xlsx;18/02/2025 12:23;MARIA DEL CARMEN ROGRÍGUEZ GUERRA;Carnicería emilio magallanes;Pequeña;Comercio;Carnicería ;Otro *;Carnicero,charcutero;1-5;Falta de candidatos cualificados;Ningún ;La mayoría;En gran medida;No
SE1 - MARIA DEL CARMEN ROGRÍGUEZ GUERRA (respuestas).xlsx;18/02/2025 12:27;MARIA DEL CARMEN ROGRÍGUEZ GUERRA;Papeleria juguetería Madrid ;Micro;Comercio;Papeleria ;Comerciales;Dependiente ;1-5;Falta de candidatos cualificados, Falta de experiencia;O;Casi todos;Poco;Sí
SE1 - MARIA DEL CARMEN ROGRÍGUEZ GUERRA (respuestas).xlsx;18/02/2025 12:31;MARIA DEL CARMEN ROGRÍGUEZ GUERRA;Droguería margari;Pequeña;Comercio;Perfumería, cosmética ;Técnicos;Dependiente cualquier cualificados ;Ninguno;Falta de candidatos cualificados, Competencia salarial, Falta de experiencia;O;Una minoría;En cierta medida;Sí
SE1 - MARIA DEL CARMEN ROGRÍGUEZ GUERRA (respuestas).xlsx;18/02/2025 12:54;MARIA DEL CARMEN ROGRÍGUEZ GUERRA;Pinresa pinturas;Pequeña;Servicios;Venta minorista;Comerciales;Vendedores ;1-5;Falta de candidatos cualificados, Competencia salarial, Falta de experiencia;Gestión de tiempo;La mayoría;Poco;No
SE1 - MARIA DEL CARMEN ROGRÍGUEZ GUERRA (respuestas).xlsx;19/02/2025 13:49;MARIA DEL CARMEN ROGRÍGUEZ GUERRA;Ferretería  el rubio;Micro;Comercio;Venta al  por menor ;Comerciales;Vendedores;Ninguno;Otras *;-;Casi todos;Nada;No
SE1 - MARIA DEL CARMEN ROGRÍGUEZ GUERRA (respuestas).xlsx;20/02/2025 10:52;MARIA DEL CARMEN ROGRÍGUEZ GUERRA;Pepe mantega;Pequeña;Comercio;Ventq de azulejos ;Comerciales;Vendedores ;1-5;Competencia salarial, Falta de experiencia;Falta de personal cualificado en tegnologia;Una minoría;Poco;Sí
SE1 - MARIA DEL CARMEN ROGRÍGUEZ GUERRA (respuestas).xlsx;20/02/2025 11:16;MARIA DEL CARMEN ROGRÍGUEZ GUERRA;La casa de los dizfraces;Micro;Comercio;Venta al por menor ;Otro *;Vekdedor;Ninguno;Otras *;Falta de presupuesto ;Casi todos;Nada;No
SE1 - MARIA DEL CARMEN ROGRÍGUEZ GUERRA (respuestas).xlsx;20/02/2025 11:25;MARIA DEL CARMEN ROGRÍGUEZ GUERRA;Brico rondon;Mediana;Comercio;Polvero,venta ;Comerciales;-;1-5;Competencia salarial;,;Una minoría;Poco;Sí
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;19/02/2025 9:34;;;;;;;;;;;;;
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;19/02/2025 13:19;;Metis Legal S L;Mediana;Otros *;Financieros;Técnicos;;6-10;Falta de experiencia;;La mayoría;En cierta medida;Sí
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;19/02/2025 13:26;;Con Inversiones Patrimoniales S.L.;Mediana;Otros *;Inmobiliaria ;Comerciales;;Ninguno;Falta de experiencia;;La mayoría;En gran medida;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;19/02/2025 13:31;;Sevilla Summa S.L;Pequeña;Servicios;;Comerciales;;1-5;Falta de candidatos cualificados;;Casi todos;En gran medida;Sí
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;19/02/2025 13:41;;Hello Monday;Pequeña;Otros *;Comunicación ;Técnicos;;6-10;Falta de experiencia;;La mayoría;En gran medida;Sí
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;19/02/2025 13:47;;Mtp Métodos y tecnología de sistemas y procesos S.L;Grande;Tecnología;;Técnicos;;Más de 10;Competencia salarial;;La mayoría;En cierta medida;Sí
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;19/02/2025 13:57;;Faster Empleo ETT S.A;Mediana;Servicios;;Otro *;Según cliente y sector que lo demande ;Más de 10;Otras *;Todas las anteriores ;Casi todos;Poco;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;19/02/2025 14:06;;Arteche;Mediana;Otros *;Inddustria;Técnicos;;Ninguno;Falta de candidatos cualificados;;La mayoría;Poco;Sí
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;19/02/2025 14:11;;Legaralia Servicios Asesorados S.L.;Micro;Otros *;Asesoramiento Jurídico ;Otro *;Abogados;Ninguno;Falta de experiencia;;Casi todos;En gran medida;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;19/02/2025 14:14;;Luis Villaverde Garrido;Micro;Servicios;;Otro *;Abogado;Ninguno;Falta de experiencia;;Una minoría;En gran medida;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;19/02/2025 14:21;;IM ABOGADOS ESPECIALISTAS ;Micro;Otros *;Abogacía ;Otro *;Profesionales Liberales;Ninguno;Otras *;No necesitan empleados;La mayoría;En gran medida;Sí
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;19/02/2025 14:43;;;Micro;Hostelería;Nunguno;Otro *;Camareros, cocinas;Ninguno;Falta de experiencia;;Casi todos;En gran medida;Sí
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;19/02/2025 14:51;;El Quite;Micro;Hostelería;;Otro *;Camareros ;Ninguno;Competencia salarial;;Una minoría;Poco;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;19/02/2025 14:57;;Fernández Fitz;Micro;Servicios;;Técnicos;;Ninguno;Falta de candidatos cualificados;;Casi todos;En gran medida;Sí
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;19/02/2025 15:01;;Heladería Torres;Pequeña;Hostelería;;Otro *;Dependienta ;Ninguno;Falta de experiencia;;La mayoría;Nada;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;19/02/2025 15:07;;;Grande;Comercio;;Comerciales;;Ninguno;Falta de candidatos cualificados;;La mayoría;En cierta medida;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;19/02/2025 15:12;;Druni;Grande;Comercio;;Comerciales;;1-5;Falta de candidatos cualificados;;La mayoría;En gran medida;Sí
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 8:08;;Bar El Niño;Pequeña;Hostelería;;Otro *;Camarero y cocinero;1-5;Competencia salarial;;La mayoría;Nada;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 8:31;;Estanco Nervión 108;Micro;Comercio;;Otro *;Dependiente de estanco;Ninguno;Falta de experiencia;;La mayoría;En cierta medida;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 8:35;;La Jarrita;Micro;Hostelería;;Otro *;Camareros ;Ninguno;Otras *;No hace falta personal ;Aproximadamente la mitad;En gran medida;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 8:41;;El Bosque ;Pequeña;Hostelería;;Otro *;Camareros y cocineros;6-10;Falta de candidatos cualificados;;La mayoría;En gran medida;Sí
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 8:48;;Hotel Meliá Lebreros;Grande;Turismo;;Otro *;Recepcionistas, camareros, camareras de pisos;6-10;Falta de candidatos cualificados;;La mayoría;En cierta medida;Sí
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 9:00;;Voila;Mediana;Hostelería;;Otro *;Camareros y cocineros;Ninguno;Falta de candidatos cualificados;;La mayoría;Poco;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 9:03;;Vector Internacional S.L;Mediana;Hostelería;;Otro *;Camareros ;6-10;Falta de candidatos cualificados;;Una minoría;En gran medida;Sí
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 9:06;;Dolores Fernandez;Mediana;Salud;;Otro *;Farmacéuticos ;Ninguno;Falta de experiencia;;Casi todos;Poco;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 9:13;;ING BANK;Grande;Otros *;Banca;Comerciales;;Más de 10;Falta de experiencia;;Casi todos;En gran medida;Sí
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 9:16;;Datos 2017;Pequeña;Hostelería;;Otro *;Camareros y cocineros ;1-5;Falta de candidatos cualificados, Falta de experiencia;;Aproximadamente la mitad;En gran medida;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 9:18;;Orela Frutas y Verduras ;Micro;Comercio;;Técnicos;;1-5;Falta de experiencia;;Aproximadamente la mitad;En cierta medida;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 9:26;;Lipasam;Grande;Servicios;;Otro *;Técnicos, conductor, peón ;Más de 10;Otras *;Ninguna;La mayoría;Nada;Sí
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 9:33;;Halcón Viajes ;Grande;Turismo;;Comerciales;;Ninguno;Falta de candidatos cualificados;;La mayoría;Nada;Sí
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 9:41;;Jaime Lacaba;Micro;Comercio;;Comerciales;;Ninguno;Falta de candidatos cualificados;;La mayoría;En gran medida;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 9:47;;Batik Inversiones S.L;Micro;Servicios;;Comerciales;;Ninguno;Falta de candidatos cualificados;;La mayoría;En gran medida;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 9:55;;Urban Beauty;Micro;Otros *;Belleza;Otro *;Esteticistas;Ninguno;Falta de candidatos cualificados;;La mayoría;En cierta medida;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 10:13;;Sermóngestiones S.L;Micro;Servicios;;Comerciales;;Ninguno;Competencia salarial;;La mayoría;Nada;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 10:19;;Gigroup S.L;Grande;Otros *;Tienen todas las categorías ;Otro *;Teleoperadores ;Más de 10;Falta de candidatos cualificados;;Casi todos;Poco;Sí
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 10:24;;Crops Gestión S.L;Pequeña;Otros *;Agrícolas ;Técnicos;;Ninguno;Competencia salarial;;Casi todos;Poco;Sí
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 10:26;;Espagrain S.L;Pequeña;Otros *;Agricultura ;Técnicos;;Ninguno;Falta de candidatos cualificados;;Casi todos;En gran medida;Sí
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 10:29;;Informes Tres S.L;Pequeña;Otros *;Asesoría identidades bancarias;Otro *;Productos Bancarios;Ninguno;Otras *;Ninguna;Casi todos;En gran medida;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 10:32;;Hispacom Soluciones técnicas ;Micro;Comercio;;Comerciales;;Ninguno;Otras *;Ninguna;Casi todos;En gran medida;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 10:38;;NC3 Gestión Empresarial S.L;Micro;Servicios;;Técnicos;;Ninguno;Otras *;No necesitan más personal ;Casi todos;Nada;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 10:42;;Evalúe innovacion;Mediana;Tecnología;;Técnicos;;Ninguno;Competencia salarial;;Casi todos;En gran medida;Sí
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 10:46;;Eplus consultores S.L;Micro;Servicios;;Administrativos;;Ninguno;Falta de experiencia;;La mayoría;En cierta medida;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 10:49;;Calem;Pequeña;Otros *;Inmobiliaria ;Comerciales;;Ninguno;Otras *;No lo sabe;Casi todos;En gran medida;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 10:54;;Abogados Babi Calzado;Micro;Servicios;;Técnicos;;Ninguno;Competencia salarial;;Casi todos;En cierta medida;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 10:58;;Reifs S.L;Mediana;Otros *;Centro de mayores ;Otro *;Auxiliares gerocutores;Ninguno;Falta de experiencia;;Casi todos;En gran medida;Sí
